id,order_id,notary_id,messaged_at,responded_at,response
419549,518331,56757,2016-07-14 21:14:15,,
419549,518331,38401,2016-07-14 21:14:37,,
419549,518331,43485,2016-07-14 21:15:10,2016-07-14 21:25:22,available
419549,518331,36051,2016-07-14 21:15:37,2016-07-14 21:21:52,not_available
419549,518331,65851,2016-07-14 21:16:00,2016-07-14 21:17:31,available
419549,518331,43483,2016-07-14 21:16:21,,
419549,518331,32895,2016-07-14 21:17:26,2016-07-14 21:18:29,not_available
424509,524129,38033,2016-07-19 17:37:28,2016-07-19 17:38:06,available
424509,524129,35622,2016-07-19 17:38:04,2016-07-19 17:55:43,not_available
430035,530381,55717,2016-07-21 23:18:14,,
430035,530381,41391,2016-07-21 23:18:37,2016-07-21 23:19:57,available
430035,530381,39842,2016-07-21 23:18:59,,
447598,549096,44665,2016-08-03 18:25:24,,
447598,549096,55339,2016-08-03 18:25:45,,
447598,549096,38767,2016-08-03 18:26:07,2016-08-03 19:01:58,not_available
447598,549096,68086,2016-08-03 18:26:29,,
447598,549096,33059,2016-08-03 18:34:59,,
447598,549096,48465,2016-08-03 18:35:20,,
447670,549229,41303,2016-08-03 18:56:22,2016-08-03 19:05:47,available
447670,549229,59209,2016-08-03 18:57:10,,
447670,549229,36487,2016-08-03 18:57:31,,
447670,549229,66765,2016-08-03 18:57:55,,
447670,549229,32954,2016-08-03 18:58:37,2016-08-03 18:59:12,not_available
447670,549229,71694,2016-08-03 18:59:21,,
447670,549229,66680,2016-08-03 19:00:09,,
447670,549229,32928,2016-08-03 19:00:52,,
447670,549229,50684,2016-08-03 19:01:14,2016-08-03 19:01:49,available
447670,549229,44886,2016-08-03 19:01:37,,
447725,549275,66657,2016-08-03 19:14:41,2016-08-03 19:18:32,available
447725,549275,65851,2016-08-03 19:15:04,2016-08-03 19:17:06,available
447725,549275,38196,2016-08-03 19:15:48,,
447725,549275,43483,2016-08-03 19:16:11,2016-08-03 19:17:22,available
447725,549275,50133,2016-08-03 19:16:32,2016-08-03 19:17:14,not_available
447725,549275,32976,2016-08-03 19:16:54,,
447764,549328,68939,2016-08-03 19:27:31,,
447764,549328,55434,2016-08-03 19:28:03,,
447764,549328,39842,2016-08-03 19:28:19,,
447764,549328,51077,2016-08-03 19:28:37,,
447764,549328,41391,2016-08-03 19:28:54,,
447764,549328,66765,2016-08-03 19:29:10,,
447764,549328,71051,2016-08-03 19:29:27,2016-08-03 19:29:45,available
447798,549357,26210,2016-08-03 19:37:21,,
447798,549357,55310,2016-08-03 19:38:37,,
447798,549357,67963,2016-08-03 19:39:22,,
447798,549357,70536,2016-08-03 19:39:45,,
447798,549357,55892,2016-08-03 19:40:09,,
447807,549357,26246,2016-08-03 19:41:01,,
447807,549357,26210,2016-08-03 19:41:23,,
447807,549357,55310,2016-08-03 19:42:39,,
447807,549357,68944,2016-08-03 19:43:00,,
447807,549357,70536,2016-08-03 19:43:44,,
447807,549357,55892,2016-08-03 19:44:07,,
447807,549357,64238,2016-08-03 19:44:31,2016-08-03 20:06:14,available
447807,549357,40966,2016-08-03 19:45:15,2016-08-03 19:52:46,not_available
447825,549395,59209,2016-08-03 19:45:36,,
447807,549357,26188,2016-08-03 19:45:38,,
447825,549395,65677,2016-08-03 19:45:52,,
