572987,completed_status,state,company_id,notary_id,total_notary_fee,city,appointment_date,product_name,travel_distance,docs_to_notary_sent
528697,completed,TN,2,32983,-1,ANTIOCH,8/19/16,"Refi, NO scan/fax backs (edocs)",8.894986772,sent_by_client
575639,canceled,AL,1,38245,90,Montgomery,8/25/16,(CBC) REFI w/edocs ,12.09341352,sent_by_client
575678,completed,AL,1,64953,115,Pell City,8/25/16,(CBC) REFI w/edocs ,19.59805141,sent_by_client
537379,completed,TN,3,33059,-1,Johnston City,8/10/16,seller only Purchase w/FAX/SCAN BACKS,12.30726706,sent
537609,completed,TN,2,32974,-1,MEMPHIS,8/3/16,"Refi, NO scan/fax backs (edocs)",5.463609775,sent_by_client
571384,completed,AL,1,54642,75,Wetumpka,8/18/16,Refinance - No Faxbacks,21.26765628,sent
547376,completed,AL,2,36021,100,Auburn,8/3/16,Reverse Mortgage Application w/ Fax Backs and POA,4.946279277,sent_by_client
516374,canceled,AL,3,50739,100,Jasper,8/12/16,seller only Purchase w/FAX/SCAN BACKS,3.018683752,
527304,canceled,AL,1,65704,50,Alabaster,8/1/16,Seller only Purchase w/FAX/SCAN BACKS,1.043326731,sent
571384,completed,AL,1,54642,75,Wetumpka,8/18/16,Refinance - No Faxbacks,21.26765628,sent
527100,did_not_sign,TN,3,40361,175,Halls,8/22/16,Refinance,47.8663756,sent
542308,completed,TN,3,39842,-1,Murfreesboro,8/3/16,Refinance,8.659962041,sent
544853,completed,TN,0,38196,-1,KINGSTON,8/2/16,Refi - Fax Back - maximum 200 pages,33.96328033,overnighted
545669,completed,TN,1,11529,-1,Memphis,8/4/16,Purchase with mortgage,6.60314666,sent_by_client
548489,completed,TN,3,69893,-1, Johnson City,8/4/16,Buyer Only Purchase Deal w/edocs,349.4060852,sent
576725,completed,AL,2,71514,100,Birmingham,8/22/16,Reverse Mortgage Application w/ Fax Backs and POA,7.796508348,direct_links
548923,completed,TN,1,52940,-1,Murfreesboro,8/5/16,Refinance,4.814542901,sent_by_client
550160,completed,TN,0,65879,-1,Joelton,8/4/16,Refi- Email Docs - PARTIAL FAX BACKS REQUIRED,26.59629611,direct_links
566523,completed,AL,0,39618,105,Whatley,8/15/16,Reverse App,16.98385825,sent
566523,completed,AL,0,39618,105,Whatley,8/15/16,Reverse App,16.98385825,sent
553871,completed,TN,2,71349,-1,EAST RIDGE ,8/8/16,Refinance,6.447311848,sent
539282,canceled,AL,1,60124,80,Homewood,8/3/16,seller only Purchase w/FAX/SCAN BACKS,11.8445388,sent
555442,completed,TN,2,70362,-1,PULASKI,8/16/16,"Refi, NO scan/fax backs (edocs)",13.42866529,sent_by_client
568160,completed,AL,0,65245,105,Ozark,8/15/16,Reverse Mortgage Closing,11.13881263,sent
552829,on_hold,TN,2,38196,80,Knoxville,8/9/16,Application for Reverse,17.6716428,emailed_to_notary
557550,on_hold,TN,2,36487,80,Nashville,8/10/16,Application for Reverse,3.038099589,emailed_to_notary
555442,completed,TN,2,70362,-1,PULASKI,8/16/16,"Refi, NO scan/fax backs (edocs)",13.42866529,sent_by_client
564019,on_hold,TN,2,39053,0,Jackson,8/16/16,Application for Reverse,22.75153402,emailed_to_notary
564019,on_hold,TN,2,39053,0,Jackson,8/16/16,Application for Reverse,22.75153402,emailed_to_notary
568160,completed,AL,0,65245,105,Ozark,8/15/16,Reverse Mortgage Closing,11.13881263,sent
553350,completed,AL,3,26246,110,Mobile,8/15/16,Reverse Mortgage Application w/ Fax Backs,8.907814807,sent
566836,on_hold,TN,2,41768,100,Shelbyville,8/16/16,Application for Reverse,26.51311939,emailed_to_notary
566836,on_hold,TN,2,41768,100,Shelbyville,8/16/16,Application for Reverse,26.51311939,emailed_to_notary
570381,on_hold,TN,2,33036,0,Lancaster,8/17/16,Application for Reverse,29.74730624,emailed_to_notary
570381,on_hold,TN,2,33036,0,Lancaster,8/17/16,Application for Reverse,29.74730624,emailed_to_notary
579642,on_hold,TN,2,40618,0,Memphis,8/22/16,Application for Reverse,13.18823179,emailed_to_notary
585908,on_hold,TN,2,36487,0,Williamson,8/26/16,Application for Reverse,14.72689614,emailed_to_notary
575772,completed,AL,3,26246,110,SARALAND,8/23/16,Reverse Mortgage Application w/ Fax Backs,4.0598352,sent
555807,completed,TN,3,66657,-1,ALCOA,8/10/16,Refi - 5-6 pages of fax backs no POA,21.03543708,sent
570677,on_hold,AL,2,26252,80,Athens,8/18/16,Application for Reverse,16.41141446,emailed_to_notary
571919,on_hold,AL,2,39712,80,Camden,8/17/16,Application for Reverse,31.69604541,emailed_to_notary
572101,completed,AL,2,12705,0,Prattville,8/18/16,Application for Reverse,15.28835066,emailed_to_notary
586339,on_hold,AL,2,26246,80,Mobile,8/26/16,Application for Reverse,10.48647689,direct_links
586650,on_hold,AL,2,26252,80,Huntsville,8/25/16,Application for Reverse,11.81346925,emailed_to_notary
559559,completed,TN,0,61263,-1,CLARKSVILLE,8/12/16,Refi,0.353226037,sent
570677,on_hold,AL,2,26252,80,Athens,8/18/16,Application for Reverse,16.41141446,emailed_to_notary
571919,on_hold,AL,2,39712,80,Camden,8/17/16,Application for Reverse,31.69604541,emailed_to_notary
572101,completed,AL,2,12705,0,Prattville,8/18/16,Application for Reverse,15.28835066,emailed_to_notary
568256,completed,AL,0,63528,75,DOTHAN,8/17/16,Refi - Fax Back - maximum 200 pages,4.363842347,overnighted
553958,did_not_sign,AL,3,63528,100,Newton,8/8/16,Reverse Mortgage application/disclosures ,10.98999218,direct_links
553350,completed,AL,3,26246,110,Mobile,8/15/16,Reverse Mortgage Application w/ Fax Backs,8.907814807,sent
560281,completed,TN,2,51917,-1,JEFFERSON CITY ,8/11/16,Refinance,13.90391369,sent_by_client
540437,canceled,TN,0,38196,85,Newport ,8/5/16,Purchase with mortgage,37.1895089,sent_by_client
561553,completed,TN,2,41391,-1,SMYRNA ,8/12/16,"Refi, NO scan/fax backs (edocs)",11.10266745,sent_by_client
563949,completed,TN,3,60612,-1,Lexington,8/19/16,Refinance,15.95748544,sent
564985,completed,AL,0,53197,170,TOWN CREEK,8/12/16,Refi - Email Out of State- NO FAX BACKS REQUIRED,45.36525686,sent
565691,completed,TN,0,39842,-1,MURFREESBORO,8/17/16,Refi,13.0446419,sent
565691,completed,TN,0,39842,-1,MURFREESBORO,8/17/16,Refi,13.0446419,sent
566825,completed,TN,1,66657,-1,Knoxville,8/17/16,Refi w/edocs and faxbacks,4.867057121,direct_links
566825,completed,TN,1,66657,-1,Knoxville,8/17/16,Refi w/edocs and faxbacks,4.867057121,direct_links
546628,completed,AL,0,65930,70,Bessemer,8/4/16,Buyer only purchase w/edocs,1.547665205,sent
569200,completed,TN,3,32983,-1,SMYRNA,8/17/16,Buyer Only Purchase Deal w/edocs,7.677115388,sent
544934,canceled,TN,3,41757,0,Alcoa,8/4/16,Buyer only purchase w/edocs,12.79761721,
569200,completed,TN,3,32983,-1,SMYRNA,8/17/16,Buyer Only Purchase Deal w/edocs,7.677115388,sent
569547,completed,TN,3,38196,-1,KNOXVILLE,8/17/16,Refi,12.80785722,sent
569547,completed,TN,3,38196,-1,KNOXVILLE,8/17/16,Refi,12.80785722,sent
591983,completed,AL,0,68099,70,Thomasville,8/29/16,Buyer only purchase w/edocs,54.27159353,sent
571228,completed,TN,2,68086,-1,Erwin,8/19/16,Refinance,18.35941659,sent_by_client
545939,on_hold,TN,0,48490,85,Memphis ,8/10/16,Home purchase,11.99535476,sent_by_client
573833,completed,TN,1,71015,-1,Collierville,8/29/16,Refi - Fax Back - package up to 200 pages,13.71529223,sent
576519,completed,TN,2,52940,-1,Franklin,8/26/16,"Refi (E DOCS), No fax backs.",18.73159278,sent_by_client
569964,completed,AL,0,39801,75,Montgomery,8/16/16,Purchase,13.62776567,sent
569964,completed,AL,0,39801,75,Montgomery,8/16/16,Purchase,13.62776567,sent
547117,canceled,TN,3,59209,70,MADISON,8/3/16,Buyer Only Purchase Deal w/edocs,6.776184521,sent
582370,completed,TN,1,38464,-1,Atoka,8/23/16,Refinance,14.52663735,sent_by_client
586664,completed,TN,3,64028,-1,lebanon,8/25/16,seller only Purchase w/FAX/SCAN BACKS,5.969999191,sent
592871,completed,TN,0,52023,-1,McMinnville,8/29/16,Refi - Fax Back - maximum 200 pages,29.20039764,sent
599695,completed,TN,0,50684,-1,Nashville,8/31/16,Refi- Email Docs - PARTIAL FAX BACKS REQUIRED,4.976696436,sent
559774,completed,TN,2,45825,0,Chapel Hill,8/11/16,Application for Reverse,20.42281514,emailed_to_notary
580840,completed,TN,3,59295,0,Clarksville,8/22/16,seller only Purchase w/FAX/SCAN BACKS,4.961114185,direct_links
583130,completed,TN,3,70855,20,CHATTANOOGA,8/25/16,PURCHASE WITH FAX BACKS,6.52426743,sent
555088,completed,TN,3,32980,25,Dyersburg,8/8/16,Reverse Mortgage Closing,6.452217279,notary_picked_up_docs
549115,did_not_sign,TN,3,43485,15,LOUDON ,8/5/16,Buyer Only Purchase Deal w/edocs,17.03490044,sent
549229,did_not_sign,TN,3,50684,50,Madison,8/3/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",8.489313963,sent_by_client
557182,completed,AL,1,71151,75,Birmingham ,8/11/16,seller only Purchase w/FAX/SCAN BACKS,18.29712862,sent
549328,did_not_sign,TN,3,71051,80,COTTONTOWN,8/4/16,Buyer Only Purchase Deal w/edocs,22.53465175,sent
587179,completed,TN,1,42069,30,OLD HICKORY,8/25/16,reverse Application,2.323894224,sent
550836,completed,TN,3,72362,30,Chattanooga,8/4/16,PURCHASE WITH FAX BACKS,5.524759747,sent
558030,completed,TN,2,41391,30,nashville,8/10/16,PURCHASE WITH FAX BACKS,11.97254007,sent
575472,completed,TN,3,66680,35,Nashville,8/22/16,PURCHASE WITH FAX BACKS,3.76973506,sent
581917,completed,TN,0,38196,35,White Pine,8/24/16,Reverse Mortgage Closing,33.52043317,sent
570588,completed,TN,0,66680,40,Nashville,8/20/16,refi ,0,sent
544854,completed,TN,0,70855,45,Cleveland,8/1/16,PURCHASE WITH FAX BACKS,15.04213004,sent
553007,did_not_sign,TN,3,71015,50,CORDOVA,8/8/16,Buyer Only Purchase Deal w/edocs,6.953535765,sent
546509,completed,TN,1,38196,45,Sevierville,8/5/16,PURCHASE WITH FAX BACKS,20.98775851,sent
574745,completed,TN,0,66415,50,MEMPHIS,8/23/16,PURCHASE WITH FAX BACKS,13.15477484,overnighted
554920,completed,TN,2,70855,60,CHATTANOOGA ,8/8/16,Purchase with mortgage,5.319379431,sent
557170,completed,TN,3,70855,60,Hixson,8/10/16,Purchase with mortgage,3.657715079,sent
553397,canceled,TN,3,70823,70,CLARKSVILLE ,8/8/16,Buyer Only Purchase Deal w/edocs,3.906807486,sent
553439,canceled,TN,3,,70,Clarksville,8/8/16,Purchase with mortgage,,
554030,on_hold,TN,2,70855,50,CHATTANOOGA ,8/7/16,Purchase with mortgage,5.319379431,sent
554092,on_hold,TN,2,70855,75,HARRISON,8/9/16,Home purchase,8.749772201,sent
558191,completed,TN,3,72362,55,Birchwood,8/10/16,Purchase with mortgage,10.26150184,sent
576859,completed,TN,3,70823,55,Adams,8/22/16,Purchase with mortgage,5.778772905,sent
582901,completed,TN,3,72140,60,Nashville,8/23/16,Purchase with mortgage,1.312280546,sent_by_client
582994,completed,TN,1,68086,60,Johnson CIty,8/25/16,Seller only Purchase w/FAX/SCAN BACKS,0.961065966,sent
599808,completed,TN,3,41391,55,Franklin,8/31/16,Purchase with mortgage,8.360263629,sent
